Apps	7507	Microsoft.BingWeather_8wekyb3d8bbwe!App	name=*|Weather	gscore=7507	lscore=7507
Apps	64000	{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Free PDF Reader\\FreePDFReader.exe	name=*|Free PDF Reader	gscore=64000	lscore=64000
Apps	11788	xb'BV5!!!!!!!!!MKKSkWxpFiles<	name=*|Microsoft Office 2010 Upload Center	gscore=11788	lscore=11788
Apps	9661	Microsoft.MinecraftUWP_8wekyb3d8bbwe!App	name=*|Minecraft	gscore=9661	lscore=9661
Apps	10342	{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\ClipGrab\\ClipGrab.exe	name=*|ClipGrab	gscore=10342	lscore=10342
Apps	64000	xb'BV5!!!!!!!!!MKKSkOfficeDigitalSFiles<	name=*|Digital Certificate for VBA Projects	gscore=64000	lscore=64000
Apps	11674	Windows.ContactSupport_cw5n1h2txyewy!App	name=*|Contact Support	gscore=11674	lscore=11674
Apps	10495	Microsoft.OneConnect_8wekyb3d8bbwe!App	name=*|Paid Wi-Fi & Cellular	gscore=10495	lscore=10495
Apps	64000	Microsoft.AutoGenerated.{29591C0F-7C09-B655-C0EB-8544FCA7D1DE}	name=*|Git CMD	gscore=64000	lscore=64000
Apps	8800	{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\\odbcad32.exe	name=*|ODBC Data Sources (64-bit)	gscore=8800	lscore=8800
Apps	64000	Microsoft.AutoGenerated.{8AA47365-B2B3-1961-69EB-F866E376B12F}	name=*|Performance Monitor	gscore=64000	lscore=64000
Apps	4807	Microsoft.Windows.Explorer	name=*|File Explorer	gscore=5615	lscore=4000
Apps	7535	king.com.CandyCrushSodaSaga_kgqvnymyfvs32!App	name=*|Candy Crush Soda Saga	gscore=7535	lscore=7535
Apps	10344	Microsoft.Getstarted_8wekyb3d8bbwe!App	name=*|Tips	gscore=10344	lscore=10344
Apps	5750	{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Microsoft Office\\Office14\\OUTLOOK.EXE	name=*|Microsoft Outlook 2010	gscore=6501	lscore=5000
Apps	7527	{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\\magnify.exe	name=*|Magnifier	gscore=7527	lscore=7527
Apps	64000	{6D809377-6AF0-444B-8957-A3773F02200E}\\VideoLAN\\VLC\\VideoLAN Website.url	name=*|VideoLAN Website	gscore=64000	lscore=64000
Apps	64000	Microsoft.AutoGenerated.{923DD477-5846-686B-A659-0FCCD73851A8}	name=*|Task Manager	gscore=64000	lscore=64000
Apps	64000	http://docs.oracle.com/javase/8/docs	name=*|Reference Documentation	gscore=64000	lscore=64000
Apps	4891	E7CF176E110C211B	name=*|Firefox	gscore=6782	lscore=3000
Apps	9403	89006A2E.AutodeskSketchBook_tf1gferkr813w!App	name=*|SketchBook	gscore=9403	lscore=9403
Apps	5187	Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe!App	name=*|Sticky Notes	gscore=5187	lscore=5187
Apps	4719	Microsoft.Windows.Shell.RunDialog	name=*|Run	gscore=4719	lscore=4719
Apps	64000	http://java.com/	name=*|Visit Java.com	gscore=64000	lscore=64000
Apps	4658	Microsoft.WindowsCamera_8wekyb3d8bbwe!App	name=*|Camera	gscore=4658	lscore=4658
Apps	64000	{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Free PDF to Word Doc Converter\\unins000.exe	name=*|Uninstall	gscore=64000	lscore=64000
Apps	9557	{6D809377-6AF0-444B-8957-A3773F02200E}\\Git\\cmd\\git-gui.exe	name=*|Git GUI	gscore=9557	lscore=9557
Apps	8648	Microsoft.PPIProjection_cw5n1h2txyewy!Microsoft.PPIProjection	name=*|Connect	gscore=8648	lscore=8648
Apps	12761	xb'BV5!!!!!!!!!MKKSkSetLanguageFiles<	name=*|Microsoft Office 2010 Language Preferences	gscore=12761	lscore=12761
Apps	8714	{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\\MdSched.exe	name=*|Windows Memory Diagnostic	gscore=8714	lscore=8714
Apps	64000	Microsoft.AutoGenerated.{8ABD94FB-E7D6-84A6-A997-C918EDDE0AE5}	name=*|Computer Management	gscore=64000	lscore=64000
Apps	9091	{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Microsoft Office\\Office14\\MSACCESS.EXE	name=*|Microsoft Access 2010	gscore=9091	lscore=9091
Apps	64000	Microsoft.AutoGenerated.{BB044BFD-25B7-2FAA-22A8-6371A93E0456}	name=*|Event Viewer	gscore=64000	lscore=64000
Apps	64000	{6D809377-6AF0-444B-8957-A3773F02200E}\\Java\\jre1.8.0_141\\bin\\javacpl.exe	name=*|Configure Java	gscore=64000	lscore=64000
Apps	7074	{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\\WF.msc	name=*|Windows Firewall with Advanced Security	gscore=7074	lscore=7074
Apps	64000	OperaSoftware.OperaWebBrowser.1529028463	name=*|Opera Browser	gscore=64000	lscore=64000
Apps	6231	Microsoft.WindowsSoundRecorder_8wekyb3d8bbwe!App	name=*|Voice Recorder	gscore=6231	lscore=6231
